"Member","Staked (SHITMOS)","Voting power"
"osmo1wtcp7m7589vdmsse30rsrlt357dwy0qy5l6gp2","244444","13.921055189005124"
"osmo167x86wtm089su58a0sjg4cg4sumhqyktc8cn25","165000","9.39672933754089"
"osmo15ucydnzg76mlt6kc3j4qmqtxh733k383mdazmp","162223","9.238579535296338"
"osmo1azes8zlagztlwps95mplm39vwpld08d4g7kand","142222","8.099525089962063"
"osmo1c0ptd0ftqjtxtmuuawd4pgd0us8nkadq2urx0d","113388.115394","6.457438972431949"
"osmo1esht4tx9ep8lq3m3jh48e5fw6wf2gve6cx5jw9","100001","5.695044427172282"
"osmo1jjlltckj572cdscmhl5wg0dwprvn3ax9d8ez7h","70110","3.992755720333284"
"osmo1z0ux6q9qw0xjhhy86wgevy8u4zd5nvhj2zeg53","69420","3.953460306739931"
"osmo12kct4cfuwh7vevec7c4y9slmee949qrjanfah9","57855.687991","3.2948741859917687"
"osmo1wv9zw2j23gw72tuf5hq03spe0xtrrkl7e0d2q4","56790.091627","3.234188606503431"
"osmo19g4h644j3z3dd98c0lg0xmjex8axerrgqurwyu","55017.009145","3.133211781191375"
"osmo1v6umul8nun2xaml2y24zrhwc3gx2lv38p9zm48","50000","2.8474937386487547"
"osmo1crckdhfjpq4rn2prnf484fk7n239qtnm4m664y","39469.136483","2.2477623801043127"
"osmo1m3yl67vexemvlkwfshy9szyv9ppkz96zfg8yjt","30000","1.7084962431892528"
"osmo17drl3u8mxy8nyz5fcrudnf5cjagst7kvn3eys0","24269.4695","1.3821432488315384"
"osmo1fd2wxqhwd7jtvsgkjpwjpkqjrh7j3mdwy6wf6t","24115.895977","1.3733972559282437"
"osmo1vqzn2kzjnhvn02x0xc5n3z2wwaw766asywjlps","20255.258042","1.1535344089861965"
"osmo1fxccvvhhy43tvet2ah7jqwq4cwl9k3dx5l5ngt","20004.64","1.1392617428784484"
"osmo1neqprx4sd0xrs4snn2q9ccchg6ksva3pntz45u","17435.7903","0.9929660741528538"
"osmo1qm9gkn8xrs87z57z4reevevjy4qztkdtnv2y0j","15965.20257","0.9092162870866801"
"osmo1drm7xxh3l66aa25edw9exupkh4fvlqnzct8hcv","15000","0.8542481215946264"
"osmo1xjdw82tj8zmfvxe2ynw20sgqfr9tu6akxakvk8","15000","0.8542481215946264"
"osmo1zvd8c2wk0dup5rxctysa6p0y6ruu0c340xta6z","15000","0.8542481215946264"
"osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2","14937.890998","0.8507110217084519"
"osmo1agn6f0dsw22zda0kvrpadlspkrudmdlug38mrk","14214","0.809485520023068"
"osmo19ajulm47nne9ukcjup8tnuhurh2jxyfessqsly","11000.166313","0.6264580940072491"
"osmo1mlxynkqd9js8tkdnkk0e27lgz7x9lt86x5swgk","10907.926153","0.62120502844621"
"osmo1c7l3lvqp53fdg4ux8yvemsf540s044nekzvrtk","10169.358529","0.5791436947480362"
