address,balance
osmo1qqgga7z7frzmmavqh4a3ypyh0z5hd2y7zuw4x4,15.32
osmo1qq7r5hswsgpz8gzc8h7ye6jm0xcum59rw3fhm6,24.42
osmo1qp009t9dccfh6mjsduy4v2hn7rygtau4u5vg90,7.3
osmo1qzdaav8ezcp3ugxz7wwzqzg5xlfxvgy92r7thm,13.32
osmo1qzen00mf7dslg64xtjmg4faxj2a9ms9wr7dx2y,42.18
osmo1qrqtu2jdqartxa2nhjsx2gh5yl8nsquqcnr7r9,6.66
osmo1qrz59p3k0yye5zaaqgelgdxg4whunq2kzdaqsh,22.22
osmo1qrnd06jq2vh4a4dj57lpv2kdwgpx7dz2gfytz6,26.64
osmo1qyfhmkmphr9vsfjgrgvch65vklec3k5yyt69ru,1238.25584
osmo1qykpgnx9w9ezw45qqee3tywzzzn2zzlydtvsk5,4.44
osmo1q94gz86lx6t2nuevglrxf8q2t0uu5tf443x0ps,42.096637
osmo1q9kkh0wj56mckpu0m2skfkws8leeg2duz90sve,70.866617
osmo1q9aj3r93j7c8y2fjc2f8wejq4h3uvj85wxqn8m,2.22
osmo1q9a5hy34xlpksju3s3ujxtfttjww0nl8u5j7yt,35.52
osmo1qx8qaaxxf9ak5nscdmaja9rayf2aymn3x2c0ar,33.3
osmo1qx46s5gen6c88yaauh9jfttmfgdxnxxsckx0ce,2.0
osmo1qxkxds93gtx769scvxxez8ezleur95ktusv5qa,1022.117709
osmo1q8efptqwhlnr5cr59z3gnwaxh2nwfstnwcwn5a,33.3
osmo1qga9gu7vlyt2f6u63t5e2cq7h3wq8g9k7gwd3f,2.0
osmo1qfd38va9nxgzt8ys4zxtrvmplpqhmnnzxg0fz9,7271.04
osmo1q2pycl2cm2s8s6wefwjy3lq8rq3qxt5jcdghtq,2.0
osmo1q2v55aeeyl5uk4ac3wtd0x28v66epwu4mutyed,4.0
osmo1qttmfljc3qcerypthjtxw4a8675xcf9hhgegkg,19.980001
osmo1qv3at230lvgjfjqstyswfn3nkrayu5s379zytl,233.1
osmo1qdwyxv7g5z2v2kejmj62gsczy24tyeeedhd46t,2.0
osmo1qd6rxzlgqzgz82cnjdc3jh3ju9yssay8lul6v3,33.3
osmo1qwpxmmkwnjkyzpc4ttev2rxguu8l6v4e5a9yrn,6.66
osmo1qwjzpda94a5ewa5r5ky6p8reffzu5dmu3aafdy,6.76
osmo1qwjfnu0hh44zprt685g5vdmv2rqv04m38tdvp6,37.74
osmo1qwa3yx7zmfvt3vupsr025j5fxz20zg2n8plqcc,1.626249
osmo1q0tfewa60enuu8utyjs9w7um58njhd7fa4gwer,2.22
osmo1q0twusft2mcfc34vl5zyn0wtls9nzhcnze7ce3,2.0
osmo1qs7xyqvxdhp3uhc8n2ra9ku2agtjrth7uyaax9,42.18
osmo1qs7mjl3nehhsuu3vujuk6jcuhu0jrvnx9ffye8,2.0
osmo1q3tz46plr7hsx3qzdssv5f5wy94av3m3xecs5f,42.087758
osmo1q3udsqea4dr7rqk79cl79f0ldlfc80zg526dqv,2.0
osmo1qj24duph5vgtwxmfnk6ecgcw0k9z8w3f2s82zs,8.0
osmo1qn47zemaxul8jp3xlfr7rqdnpwzq37ch4fgsn6,7728.300471
osmo1qnhz57rmvwtdhk9nqvh05r0fr3qh6q4jvw2y68,2.3
osmo1q42q6jy4xua4m0nd65t84nt079yst65wch4cuw,1.5
osmo1qhq8w0sm78xzy5x6u3yjxg2hjqjvdjym05drdv,803.395221
osmo1qcq9r45shqne2yqletfdcy4p6mp4qkgulwqe9h,22.22
osmo1qcual5kgmw3gqc9q22hlp0aluc3t7rnsfc277k,1.86109
osmo1qeeusdh7tjs2cjxyzgf09xu676mn8tquae2tmf,35.52
osmo1q6xpx2l6ecyf35lg6czefygfqr68lw9mns4q0z,2.0
osmo1q6xvj4v99c90dpj6upk3ufv606r6l2xxdvkcmt,42.18
osmo1q65fj0watne60mp36mfhvf4gk0vfdet8yegtlu,22.2
osmo1q67zqfjtg86lx0rm6egsx3agly2jt4gf69c4hh,2.0
osmo1qmrazm0hgfk3u5x48achnjxq976y3my0q9j4h0,367.612215
osmo1qm9gkn8xrs87z57z4reevevjy4qztkdtnv2y0j,56.556648
osmo1qm94vlfd69eacrcx687kfkm3lu6m70sa0cg33c,33.3
osmo1qm8ttsqm99uucnjqg7h2qzlrl6rxcay7eajm2q,35.52
osmo1qur9grvh29plr6pcyzl8rav7j95xghtlujxgzu,2.0
osmo1quhdp5phse3cwr49cnk43jhuqjnzrzxx54lw6p,31.16
osmo1qaqyew9epj6tamypqa3hr0hxn2s5n3hte2j6lp,22.279951
osmo1q7qhhnhf80ed6kyry6je6y6ylgdfqsz2qzj7ql,3.955216
osmo1q7pdf8eqhna9x26xjngsrqeg00x4tsq2ux70s7,7041.064419
osmo1q7htpg4phqk7z8lawakew3ne6kvgwmmuygv4lp,35.52
osmo1qlfph4sldnkd7glt2wnyd44muy29kxp8h8rpey,6.66
osmo1qlw9kmu46nvmshwpe0v7hcfan0xkvwcttdxyhk,202.071219
osmo1qlljvx0ggg0qmg3ffz4f3hd0tsd259n46k9mjk,6.0
osmo1ppw4g9zpk2e92et7p6j5ack2qzmh8mc47a82wm,7.32
osmo1ppmfsp6nnpjl90vtc4d02vqgrux9xr7tvpz64n,2.0
osmo1pzn0qyaw6s08nkeuf728lh4ccz9d3ueprr966g,2.0
osmo1pzes6znvc7s86zkjmkc7xnjx25rewljnsed0ak,42.18
osmo1prry8nyvzuaw0hcj4au3lyd7gkwr4cw0mf43u3,33.3
osmo1pygyv2as3w29v663fag0dwherj7j9mvy5707at,35.52
osmo1p9pr668cqa3ej0wf8f6vt4vsepyrrjzkvengx5,2.22
osmo1p9hsmt9z6pt008v9rdfq5vv3pkqvnkrll0ahgp,2.0
osmo1p9e6yg6knnlp8aqljecd3tn37fcn89eppcr6np,8.88
osmo1pxxxte323hkrer8ervmgtnlfswkye03aud6xqh,74723.50613
osmo1px6avm9c7x06hm0tat0lrv4txqngwvr9dj8wxc,6.66
osmo1pgtzr2n7vmtsfhrqqpjn3ugj8dj575tacmdyes,4.0
osmo1pfd23rcs2kc7jte8xxuhz3pzhgcwgwjplq0te8,35.52
osmo1pt7vxms4acncu0hwvcdxtvlr5w2ftnnner4ztj,6.0
osmo1pvp8emynjnkeamettmydn9s2q3fevgrvc9m5z0,2.0
osmo1pv5c75adfa0fxekaap2sl5jfunkmqee4p3wgct,2.0
osmo1pwh69yww9h5dqkjtlfdcs8zqvktzngk50et5r3,2.0
osmo1pwexn4tjqtkx43pswt4hjm2x0fk9pe2cfme40a,33.3
osmo1p0yrw4lawfafed3gpsr3andz8mc0skcducluyf,33057.737497
osmo1psxjn5qzd839jde8p922l4ly0c4m8w0zhw06c5,2.0
osmo1psdhnw746sej28ruup7uyk8ym227zl6e5t4zhu,6035.52
osmo1p33psadnw25a9c7x7w5ltjgewk2rtefmdu7u3m,1.947516
osmo1p3nf9fhf86qnyxuyes3flt0hg97a60lzscntne,33.3
osmo1p34krywk2xt67yz0ju4c5dzz5u6lurs074gxsm,2.0
osmo1p3u8l2zdnlaq0a24q6dkdqquxyd66nqslxmhkr,2.0
osmo1p3ud7j6g4f489uwwgghdeyedprj2w98zkud6da,35.52
osmo1pjgrju2eyt8aescxavjmzrgjttg0ph9ffftpym,6.66
osmo1pn9q8dqmgw2uf4d5ujy4hlzg43umz4rhaw4qsh,33.3
osmo1pn8nw8mu3je4wtjmsxtshu250h930t30xlyxkm,13.32
osmo1pn43w004fn53fsswwu758alezvzt40vplex7a0,2.0
osmo1p5q89xncqd79l6kdssf72zfe42lun0tun6seta,2.0
osmo1p5xvfl8hu56046sc9s2yghzysnr6vxnvft444q,2.0
osmo1p4js0h9rxyjh0yvw5meqx97r8yvcnpch5c8qwu,110013.32
osmo1pkpsclxs8x2hce0zqslmuaey0hrvfcmfavzv48,2.0
osmo1pccyqz6f7jrpx8rupknn9yad4t4pkvphmrys0l,6.44
osmo1pe8hvlgd5ae3k9r99k569egc8rwujnj86nddrf,24.44
osmo1pe3sf3etfl7ymzt5axx06sx30xsghhuy97lm2j,8.871589
osmo1pehvghr7mzgmlm96yasv08n42plp0h3ws892yu,35.52
osmo1pe6my32zlq0c9x8efxcygw6x20nc7fadvaf4v4,42.18
osmo1pemt63zctpxtmarevrjh0mwrv9mapnpy54v2dp,4.0
osmo1p6p0wwcgxj9alaj27f2ggzp7zsx307slagu752,19.98
osmo1p64d8tal0tc02csp0h9cflxr0lfcaxqxvxh7k9,33.3
osmo1puwu5uv5sjdvyf2yvkx6aqc806vyjjfhdh7wc4,33.3
osmo1pacyf8s34xc7wzaxrcw7m256yc5ksa3ahrr7n8,4.0
osmo1p7txaqrjkpykn8exkjwpwek66x6uuqnpvu6k5q,12.278293
osmo1p758gkqucexdh5fennt56d7rtf4ushgvurpstd,2.0
osmo1pl28m89kw04w73wxaxg5gwswd5sqvluqnj2wqx,2.22
osmo1pls6ps584ymly39fmudhge0q9m4jmdx2r5jrgn,2.0
osmo1zqrqju2txhnnwtgn0d2jutnassmg9733kdh0dl,412.933965
osmo1zq89xa0r9u6dhl6nvfsse26759spsylqm8eawm,3.9093
osmo1zq3kfatr9fy0fdp6slz5hfkfg82l6q4s39mftw,2.0
osmo1zpk469u89zzuwmqf9u5t4dvkplhenuqsh85p2j,3.071494
osmo1zz02wg0pvr2rz3jrefn6z0ayvclhfvrxf7ncdf,4.0
osmo1zrfve7s5450lxrmjdz2nwwwjvr5d0ehlcs8s65,42.18
osmo1zrmwvawvxu0h8zcw4yw407mhqw0rzm8a0ttvak,2.0
osmo1zr76txfh4ey7c7ul9chl0zqln4fmx0pd9a3wrz,2.22
osmo1zypudy8lggdlh4m4u34va40xlh099gu8rq22hy,2.0
osmo1z9r97htdqtgnulcuxenxfdt6hhv7twj6zvwy30,28.88
osmo1zxp8vsjazw944pyccr7rhvxdatl7dj3k9h2658,32.2
osmo1zx3wcr0yxgc7dmu303932srldw8c69p8y90kyg,35.52
osmo1zxk9h3434pgwc69k6mvmawmkhc97zruc09mn76,33.3
osmo1zxmky65ht2tmvhswxqk7vkw8tpnj7vlphavm9z,35.52
osmo1z84x44mz2vye25vxkhlp4malu6ktuk7um9lpwp,7176.65012
osmo1zg9tz3m5t64qjvckd94n5luduz3wpejjp5hnat,2229.758996
osmo1zge9wp6e2ty6u4h75qqdfwmhgat7wtxtxxfjla,2.22
osmo1zf9pp6x64mrqaptpawed0klqrtv2dyqrpzpywj,2.0
osmo1zfdh9jslt8ldzwnvw8pkldyx6l9vxkhv7w7sg4,22.22
osmo1zfh6ccddln9e4fkwse7fcquvecpnnxyk0c9elv,631.214088
osmo1z28n9utzj7qtj3p8aqafl6uqjxakx2fjep6lnv,122.14
osmo1z20fshhnq8fg2l2nz5fwxclm6gflzpgtc84u4x,2.22
osmo1zvgz5ryz3rn0slt269cpqvhx8k63jpzf7pgvrj,159.094568
osmo1zvd8c2wk0dup5rxctysa6p0y6ruu0c340xta6z,6090.717059
osmo1zvh3sxfwe03h9q3jgdhfksj5zhv5nu4v4aay05,35.52
osmo1zdq46hsm6m66slmn62rw60gw24krjzwqs6qrgq,2.0
