Address,Pool,Amount
osmo1thvncfatxukryyceuqxh5fzvxa57sj7qxn4zkj,2314,30135192114314262453
osmo1sfc34ujkys84eeqmegm7lle955y3edytg0dcmj,2314,34382781905778446704
osmo1qkjcqvwclse06h5zvznhnp9ngvzz74z5ah0edq,2401,3339484602462611931
osmo1pu0sll2lyfkd3fszxr6jps7z77dwdckqsn26rm,2401,3513602324008169475
osmo1z4lqen77tmpnw37uq8xx3c2mp80nrr2uacqeng,2401,4351546383731702320
osmo1zlr3fpzk3pgkgmtnkj9zd0w0jqx47apkpk3fqh,2401,3880569470968299583
osmo1yxgefa7h4hnta2cfglm2e7r5cnlwpkxfmvxnrs,2401,2908254014947503711
osmo19zlvygk7x5wzchchc0tlnelsjrn5etend6a0cv,2401,9107175620371223716
osmo1993gtr0uuxwv69dgjczn8jkueszefsg5k0qqmr,2401,3260029469987770574
osmo1xyg2gc63jv6nmxg4lcrxpf7vx703k5zfw4y6ss,2401,12657357835525640880
osmo183nnun3xl7amzskn3apmnx7h6gwr427c5gr4ez,2401,401741998105227785
osmo18hkpeqj7jlrz7f65ypmwc36tsequ5285ynek3m,2401,2796084118246502570
osmo12ht53cjjgdtlxgcyuexc7jqd2lkexufplyje30,2401,2999908666797307555
osmo1thvncfatxukryyceuqxh5fzvxa57sj7qxn4zkj,2401,3303072776589760779
osmo1vq2sw5cd9hzuswsw9xc9ngpymyhnt5enc2susr,2401,55829577437800750
osmo1dm5wfrlahz40e3u54lr3wlplqj6ad0h9xxjp8h,2401,9622782688909325210
osmo1wkjux4plw2lrarcaqc3ks4kakppfuzy8um5wat,2401,6647596109747069015
osmo1s2u8u36mcrffytug5fammpshg0jk68kgwplg8d,2401,20353486543828500894
osmo1jj5yrkgrzu2k22y9jgqkf9h5slk0ej9s2rlvnh,2401,78255070365782096027
osmo147kcrl0urz8dep3sv2znl47tpulnh9xj9ynf4s,2401,66800542979109436055
osmo1k0l8vczkgy3av3tn05dvnc87se60gaa9sqaqm5,2401,4448622948014521891
osmo1ch3jqtvs4glegusnp30pffu2kce9gev748arcy,2401,550282333669485832
osmo1clazh6qddeltl9rsyutfp8p7raxrensdav886t,2401,725094951106087046
osmo1mpqnv6mpzky3q3qfxunah7dafp539cmqe3d6ny,2401,4286797948783087279
osmo1ust06rw8y46tdys09tzap9gx8e9gtejf6ckrva,2401,5187317625036629003
osmo1azy7xegyjprqw3x882znu3e0kx273579300r8a,2401,1714129154688060806
osmo17sfxm6wq5tlt2tpnw77n8zh5vkpljxdr475yuk,2401,414112910359857908
osmo1qnqzdknfvr97uswyvr5qcehmlxhja92zq74dz5,2286,6311633971703420
osmo1q7k2dgn3d7lewv5rr0xl3cq3yp06qervjprpjh,2286,1650798722518632852
osmo1p0uesu8nf4fgh8xxmper5gqthd4wz6xtkyg24c,2286,258860269157626657
osmo1phcmh6rt32n05yfujxfphvv4y2a06nfzuegrm3,2286,70059255233317480
osmo1rqrck8d5u34l8p6zvanh9zn4kkd4v6sh4palze,2286,141509822301002057911
osmo1rwslpg9wrt259jqjwqdf4w8a7pfvw7j3pjrxzz,2286,574009863914
osmo1xqc20kjde8jwzadgzzpykznslkaragqtp43xhg,2286,516489639233870162
osmo1xzj96l4uct68nx5nxkgdycry50f3g2mafhzqpf,2286,526055421057105056
osmo1x3xcevdquv8t23egdp5lnlq3lz9ne5yu9j8st9,2286,9312275172580155266
osmo1xh0emdly8tjyaasrjl5urpfvazqwrkmleazsyv,2286,14692975100662314
osmo1xe2u6s2zjkt6ct8fuv2pd0ma4mhy6jch0afxcc,2286,5615012923474158413
osmo1gyn52enex6ek07svnh4aq5ppg0favc8z6jlhuk,2286,41325921476498842440
