address,amount
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,67
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,50
stars1esht4tx9ep8lq3m3jh48e5fw6wf2gve6ypslnx,42
stars15ucydnzg76mlt6kc3j4qmqtxh733k38382e0xz,36
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,26
stars1c04j46fdwc09cpea9exvpcml93zq2m008nvs5p,25
stars13ml8ncuzcecwq5mxpk2n3lef8pckr588va6kkw,23
stars1rhf8wp7m7htjr0elpah46adkhc3sm28sd8swvd,23
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,20
stars1kg99k8wd67r0ffxwavgnxup7yk46rvtthshe4u,16
stars1kqtp8pr8fnnejr07y2lpe8tqy77jw4jnrf7eqy,16
stars1m3yl67vexemvlkwfshy9szyv9ppkz96z40rf0g,15
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,15
stars1d4pn8f3q5dn0g4uwr2egh5mgzrnf7fhhjp8jk3,13
stars1saxd6s0sszru4ut8cwl8q36e8pu8zksrcwyx3w,13
stars15lv7hvuphrf8tpj872wkln9pl0vjjtnyrf3eyc,12
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,11
stars1rtc9ymspxvq6ejt7ck39fm2wnnmy6xv5yuq2jh,11
stars1jyrnxj8t97mryfywwt2mvaekdm0geycvyjhtt4,10
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,10
stars1rafqlhkvz38d9jhzkxumr78nfg8gyce4w5r2kr,10
stars1p0yrw4lawfafed3gpsr3andz8mc0skcdqlm3e2,10
stars1xs5qu2phffkgyge0dfj8cparwa9wun26tn8n59,10
stars1ap6adasc8tlumd9a2kwvaprf0x6wf4s6sj5f6a,10
stars1hukwqulasgyg9mreh62uj87pasdwtg8ya4dpgl,9
stars1l4kzcv0asqxsgtnyf7gkedv7ek7d4wpkxqhjly,9
stars1h3dyx82jpsdzdrs0d5a8me7apd27l6knmdnm86,9
stars1ej3tct7uczdpgeeg3lmy44cm7fty5mpfp6rzef,9
stars1chlpr5rzmk99ctx082ekeh4zscvjjeca0pm0e5,9
stars1j6wxkq6wv2vanvz2mzptsg99syswadz0u6gmvj,8
stars19ajulm47nne9ukcjup8tnuhurh2jxyfevhyaz8,8
stars1xxm8rckremddly3q8uj04xpczh7g5h9t2q5t4c,8
stars1cxxnrmffzjd7mqhh7j3ygm2u0ap75njulaq0ar,7
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,7
stars1xt2zcdhdf02jx5csak4t25lygfn4rwg7r2z2rz,7
stars17drl3u8mxy8nyz5fcrudnf5cjagst7kv0kafdv,7
stars1p89fj3qgl50w066r0rz0zyfn2msgh85rmlp4jc,7
stars1qv3at230lvgjfjqstyswfn3nkrayu5s3zzxfku,7
stars1jjlltckj572cdscmhl5wg0dwprvn3ax93qa0r5,7
stars14ek8x7prpmrqhvvysumqzhapl32ku7erru7vcn,7
stars1340wwpwvp703vrjj48zr2flmw802k2mcask5pa,6
stars10jm8fvdyqlj78w0j5nawc76wsn4pqmdxwjyelu,6
stars1d49fac9f3d8s34t8kh7v69uk37hwz4nzv6nn9c,6
stars1drm7xxh3l66aa25edw9exupkh4fvlqnzyvr690,6
stars1hdsmz2kqftgk2ypa5t62aauvl0y3c2nf7tqh76,6
stars1el452vu9h5gwz74ymrsst6zwv95cynnw7fxg2y3t5v8wz7et7f9qpk2pzy,6
stars1p4js0h9rxyjh0yvw5meqx97r8yvcnpchglrdnl,6
stars1tmv6k8a84q0yuzhav3dc5zu5qw95selzcney0l,5
stars14szcsqlwucecyn97g730qsnsq0rg68zkxnhqzf,5
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,5
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,5
stars1dqsmw3sryd4f8ty8sl455ym6usznmdvlryggtz,5
stars1azy7xegyjprqw3x882znu3e0kx273579dgtw67,5
stars1kwksnys3cnjqp6lt88ef2ay46jl5jaufldl9y3,5
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,5
stars1z28n9utzj7qtj3p8aqafl6uqjxakx2fj9x7jw0,5
stars189l7q25xdttvlr2uug46vk8uqcmhh6wld2f826,5
stars12q567kam3tclejefg8jggkxfxues5xlhg3amg2,4
stars1ae0lf58wjdtqckmf0f84rx3ckyjvzn7hfed0mz,4
stars1f4tfssdyvjuutm4s8w770nhek2f6f7yvt4e78p,4
stars1xh9ry0u6cnjq979zpt644fjf8heaclg9jxkstg,4
stars1k3hz2mg7p94re6s5txkzgdrkllj2s8mnnyxh9v,4
stars1agn6f0dsw22zda0kvrpadlspkrudmdlu5krk74,4
stars1c7l3lvqp53fdg4ux8yvemsf540s044ne29gwk4,4
stars1f2026phpmwleuxv5g50tetyenfhqwtt5em0zqe,4
stars1k6drrhlzkdy9rmgc4ekaeathcdpn7gwgccsvka,4
stars1u8fl0vnp8cp2a9yszgqaqd6gundlyvgyc8z2su,4
stars1wv8s3cflrukukpe8wt0t246ewamshqlnrq789s,4
stars1xecwg42sxtnz8msrgcdlzt4f0k2ch0w034xaxq,4
stars1n5ccr6zjrqp78gyc07jvmspx39x2xmt84qttf7,4
stars16zlzmce8klra8je5qu24q8pw7tgplnt6wu2sa9,4
stars1neqprx4sd0xrs4snn2q9ccchg6ksva3p0vxcfl,4
stars1mx4h4zfta4rmx24ddu0js5r5a8ymyk0qda3mrk,4
stars1jzekzshmt7hurf5j0qkprnv0tnrj9mc0ulvpdk,4
stars1fxccvvhhy43tvet2ah7jqwq4cwl9k3dxgcs74g,4
stars17qrfgsyepv3mk2f29jkvf0y7q0fnyx7dd78l5z,3
stars1lh6ruf253fhjykdesvfccy0y0vhjque4uwcey3,3
stars1c0ptd0ftqjtxtmuuawd4pgd0us8nkadqkm8tjw,3
stars12wkgg6kgwcat42682ch2r4fkc5s5y8y6gsypmv,3
