wallet,nfts held,10 or more,AKT distro
stars1p9k8p9zaegef6c50fqs8h2ya2eslcd0qxsq2n6,107,10, 10.000 
stars1c8gphznsyfu52xqrvxkpw20krplp8gs0jv92f7,87,8, 10.000 
stars1qm9gkn8xrs87z57z4reevevjy4qztkdt0twfj3,49,4, 10.000 
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,49,4, 10.000 
stars1wa3599xvdjjrhytu5yp8jxnq8m7h9jdpqndy5g,42,4, 10.000 
stars14eaylprxd5gz6dgxymc3uhnvass029es63pclk,41,4, 10.000 
stars17qf82c3xhuf2gxwam7fp48x657fcyt9arzvyf6,37,3, 10.000 
stars1qszltlwumsrxsntzl2gfdakzmncw5edkexz8vh,36,3, 10.000 
stars167x86wtm089su58a0sjg4cg4sumhqyktyqu7hh,30,3, 10.000 
stars1esht4tx9ep8lq3m3jh48e5fw6wf2gve6ypslnx,27,2, 10.000 
stars17ml0yc83r8sxa286lc5p2wsyx9dfkyu7v63650,25,2, 10.000 
stars14jayw662dsn2u050lmhpysqu64dz02cvv65nc2,25,2, 10.000 
stars16g7uujzcuycve5fn9zfvltwas3tq443hekj32q,21,2, 10.000 
stars1ru2gl4t9tku9gq6ng353qpcc6qhraec9r72ecl,20,2, 10.000 
stars1ap6adasc8tlumd9a2kwvaprf0x6wf4s6sj5f6a,19,1, 10.000 
stars1n45552m28f6ep54shzh45txtkff25flahswlpv,18,1, 10.000 
stars1awzq5gzp6yhhysxnawcv4u6v6dsc7zp9pexqqv,18,1, 10.000 
stars10mkczsrf8snhdhazkf7lav2hjdctyupv8q26en,18,1, 10.000 
stars1ddmmtady24ncs5z8k5tuqyvpcfvxjc6ury4t9u,17,1, 10.000 
stars14clzmgc98w02k3z5h5ukpvrsw3k3ryjl22vsd6,16,1, 10.000 
stars1340wwpwvp703vrjj48zr2flmw802k2mcask5pa,15,1, 10.000 
stars1gh7t8zfeym9c0emwcsnwjgcuew7fzqc73snrn3,15,1, 10.000 
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,14,1, 10.000 
stars10lnxkvncgdxqv8z8aee9pvyf9h8ddcmlzfzg0g,13,1, 10.000 
stars1ctq6esla3d299l3768g8329uxghpry2mkxfjka,13,1, 10.000 
stars1jjgaptenupkvczlxzryjgsnp5t0aktpxnzaw28,13,1, 10.000 
stars1z5x7q5v4v7a2pec2ml26w69v5suw970uvudm6y,12,1, 10.000 
stars1ywqjtwhtn02zkph80cgwlg6kkmzl8wg7zf08rl,12,1, 10.000 
stars1kqtp8pr8fnnejr07y2lpe8tqy77jw4jnrf7eqy,12,1, 10.000 
stars1fmkgregq3tsznnjyhj7wwlcnssrlk2zk4neket,12,1, 10.000 
stars1d74f6c7rgyyym57530rc2tt88fnl6wpdcpz6ta,12,1, 10.000 
stars1xh9ry0u6cnjq979zpt644fjf8heaclg9jxkstg,11,1, 10.000 
stars18nf84jgwkqypaplz45xyf3yegpu4vvhzf4wjwu,11,1, 10.000 
stars1mw6l2gd2l0jt8phz7yz5l7vyfl4h2qpkcvfc7f,11,1, 10.000 
stars1v72k4jfn2kd098gkgle4e36cetelcya7gv0l3z,11,1, 10.000 
stars1fk0s35eacvd8nm5rux44tqqpmm3jrfex964zfe,11,1, 10.000 
stars1z5x07m62laz6thm8quanqgvg42gz99s833eaqw,11,1, 10.000 
stars1czw8kd733420g0wpgt7kptprd2ql9dwzcqnw39,10,1, 10.000 
stars1jzt962czzt3ruwsapec9fzmrm7kcj442vjk36c,10,1, 10.000 
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,10,1, 10.000 
stars10zye94zk083n84azn70q6m9zw6spls2gxmgj9z,10,1, 10.000 
stars1q94gz86lx6t2nuevglrxf8q2t0uu5tf4fkzzun,10,1, 10.000 
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,10,1, 10.000 
stars1m3yl67vexemvlkwfshy9szyv9ppkz96z40rf0g,10,1, 10.000 
stars1m5ldz53qlmfre2f4tvr4x82fzcgnah0u69us4u,10,1, 10.000 
stars1ulq7fsg6kj0yhnzf744l4amn64qrg7u6danuwq,10,1, 10.000 
stars1hasrs4nadnucnw7rr9tx90ztm6m9mtsp627h9k,10,1, 10.000 
stars1ut5jsw823mmvr5huqtz7evft6rplxc8a5gtwma,10,1, 10.000 
stars104aavf30j5uwvw2nnnmnp45hjzx60sdqwvfuqj,10,1, 10.000 
stars14q4c6kgg7xegcc88naqt6f8fz2skuzczhtg87f,10,1, 10.000 
stars1zqv58alxz2cyvdqdq2nz393kjy56edu36v8n0g,10,1, 10.000 
stars1sfc34ujkys84eeqmegm7lle955y3edyt5gf4x3,10,1, 10.000 
stars1d4u7tccq46dk9melcheeqdy5fd5eegj0xv2gel,10,1, 10.000 
stars1vuqv9y870f9x9agwv7exgdmgk2tgfgdwy8tw7e,10,1, 10.000 
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,10,1, 10.000 
stars1uf4txvfnchhkazqakpacm8v2uzjdua9e4var8j,10,1, 10.000 
stars1vuq9jaytesqkwm69h3mlnjdwr9atmjxpyvdgj9,10,1, 10.000 
stars1zge9wp6e2ty6u4h75qqdfwmhgat7wtxt6pdlz7,10,1, 10.000 
