owner_addr,token_id,is_listed,is_in_pool,is_staked,dao_address
stars1jzg6medqw6ckwespgaz6y4f7amkd3jv0s77tjs,1,False,False,False,
stars1m3yl67vexemvlkwfshy9szyv9ppkz96z40rf0g,2,False,False,False,
stars13wyswz22shgmkm6zurw545ed0ypshjrf0swlme,3,False,False,False,
stars13wyswz22shgmkm6zurw545ed0ypshjrf0swlme,4,False,False,False,
stars13wyswz22shgmkm6zurw545ed0ypshjrf0swlme,5,False,False,False,
stars13wyswz22shgmkm6zurw545ed0ypshjrf0swlme,6,False,False,False,
stars13wyswz22shgmkm6zurw545ed0ypshjrf0swlme,7,False,False,False,
stars103verdnv4pzztty50ua7gs5gj25l2gwud4yz2f,8,False,False,False,
stars103verdnv4pzztty50ua7gs5gj25l2gwud4yz2f,9,False,False,False,
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,10,False,False,False,
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,11,False,False,False,
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,12,False,False,False,
stars1jrmhxtlq0j7eeyxd9da6uxpf7t6qz2t4tt6hdu,13,False,False,False,
stars1zfdh9jslt8ldzwnvw8pkldyx6l9vxkhvzf6a4k,14,False,False,False,
stars1s9jq2ll9499g2dmgpuq30ctm8pprxxehgq7anq,15,False,False,False,
stars16l0lcydppa6ayd9zev0qvym72nhdp46n8s27nw,16,False,False,False,
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,17,False,False,False,
stars1ux2cshgv2g8a0lu9c4gepcgmqx025yuyy0hx03,18,False,False,False,
stars1agn6f0dsw22zda0kvrpadlspkrudmdlu5krk74,19,False,False,False,
stars1wryt0g4g7h8eldzankzpx55kraljjepxs9hguc,20,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,21,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,22,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,23,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,24,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,25,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,26,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,27,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,28,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,29,False,False,False,
stars16mksfmegvzqkhla6nnh6g2w55qgdap6dg9yau8,30,False,False,False,
stars1l72ayh6xpge306s6jwr6l5dflrj35kfkq3ddys,31,False,False,False,
stars1l72ayh6xpge306s6jwr6l5dflrj35kfkq3ddys,32,False,False,False,
stars1l72ayh6xpge306s6jwr6l5dflrj35kfkq3ddys,33,False,False,False,
stars16chv643q7dhz4dxt2jpedkw4xg0hcvez36jth5,34,False,False,False,
stars1qcq9r45shqne2yqletfdcy4p6mp4qkgurfy5c5,35,False,False,False,
stars1m74zj2duq6aqunjz4syec6wtquxygrkpe6dfnc,36,False,False,False,
stars1esht4tx9ep8lq3m3jh48e5fw6wf2gve6ypslnx,37,False,False,False,
stars10ejwp6pzwje32t3za5rhyej8gujhr2tcf7vs6y,38,False,False,False,
stars1qwjzpda94a5ewa5r5ky6p8reffzu5dmud6eys8,39,False,False,False,
stars1yvvmkmyypxhsmyzmfc5xq8kflrjc604e5w790a,40,False,False,False,
stars1yvvmkmyypxhsmyzmfc5xq8kflrjc604e5w790a,41,False,False,False,
stars1qzdaav8ezcp3ugxz7wwzqzg5xlfxvgy9ky6x2c,42,False,False,False,
stars1eln5xqzf7wf5x3h88jmsh9f378mq7matzqemrw,43,False,False,False,
stars1eln5xqzf7wf5x3h88jmsh9f378mq7matzqemrw,44,False,False,False,
stars1eln5xqzf7wf5x3h88jmsh9f378mq7matzqemrw,45,False,False,False,
stars1flhs29gr32y3xywvxuzqxymu5pgvyyat0r5epn,46,False,False,False,
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,47,False,False,False,
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,48,False,False,False,
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,49,False,False,False,
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,50,False,False,False,
stars1hzqwj0fj2fjf5wgtwfr6suy07xfud3ksdr5mqh,51,False,False,False,
stars1k83g5j4prctjj5a5lzgy0c9se8r8klsqpsjk7wjxk5930mcd5swq7479c6,52,False,False,False,
stars1pe8hvlgd5ae3k9r99k569egc8rwujnj8x5fq72,53,False,False,False,
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,54,False,False,False,
stars19ajulm47nne9ukcjup8tnuhurh2jxyfevhyaz8,55,False,False,False,
stars1dqsmw3sryd4f8ty8sl455ym6usznmdvlryggtz,56,False,False,False,
stars1dqsmw3sryd4f8ty8sl455ym6usznmdvlryggtz,57,False,False,False,
stars1khfrzy6fgpxu6a7lzj7xs43rsmr4r8ty6xf40u,58,False,False,False,
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,59,False,False,False,
stars104aavf30j5uwvw2nnnmnp45hjzx60sdqwvfuqj,60,False,False,False,
stars1805yrkfuhhhg52qq7euuvsw8gx56dcctjvn5h7,61,False,False,False,
stars1mddxa63gl83d8vzkpl3kwtta790r0na6aguuvn,62,False,False,False,
stars15qypa0nx5yn2jdvms26fcejra6axjdea6nyk4w,63,False,False,False,
stars15qypa0nx5yn2jdvms26fcejra6axjdea6nyk4w,64,False,False,False,
stars1aezm7tvvgcwq07cmfdyr4ujsggvgv6x5fj8u7f,65,False,False,False,
stars1f7zw62cg954cduzgdy9dkaq94r5ky3gjhdcklm,66,False,False,False,
stars1zlzqugu38wv4my0lfyltvfnfce5l5vtvn86yqq,67,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,68,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,69,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,70,False,False,False,
stars1qxkxds93gtx769scvxxez8ezleur95ktqhgea7,71,False,False,False,
stars1c7l3lvqp53fdg4ux8yvemsf540s044ne29gwk4,72,False,False,False,
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,73,False,False,False,
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,74,False,False,False,
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,75,False,False,False,
stars1m7fp3yd2r5h2u4uu02m6nstceranss8vws75t9,76,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,77,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,78,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,79,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,80,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,81,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,82,False,False,False,
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,83,False,False,False,
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,84,False,False,False,
stars1264kuu3yy2frmun6dvkuqky7cwyh3lsg9za7a8,85,False,False,False,
stars1awzq5gzp6yhhysxnawcv4u6v6dsc7zp9pexqqv,86,False,False,False,
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,87,False,False,False,
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,88,False,False,False,
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,89,False,False,False,
stars1q9kkh0wj56mckpu0m2skfkws8leeg2du7zta36,90,False,False,False,
stars1c8gphznsyfu52xqrvxkpw20krplp8gs0jv92f7,91,False,False,False,
stars1c8gphznsyfu52xqrvxkpw20krplp8gs0jv92f7,92,False,False,False,
