address,amount
stars15ucydnzg76mlt6kc3j4qmqtxh733k38382e0xz,35
stars1c04j46fdwc09cpea9exvpcml93zq2m008nvs5p,24
stars1rhf8wp7m7htjr0elpah46adkhc3sm28sd8swvd,22
stars1esht4tx9ep8lq3m3jh48e5fw6wf2gve6ypslnx,22
stars1ljd6d8quzfn4zev99unxnz5x89frev3vtgy59c,21
stars1kg99k8wd67r0ffxwavgnxup7yk46rvtthshe4u,16
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,15
stars1kqtp8pr8fnnejr07y2lpe8tqy77jw4jnrf7eqy,15
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,13
stars15lv7hvuphrf8tpj872wkln9pl0vjjtnyrf3eyc,12
stars1m3yl67vexemvlkwfshy9szyv9ppkz96z40rf0g,12
stars1rtc9ymspxvq6ejt7ck39fm2wnnmy6xv5yuq2jh,12
stars13ml8ncuzcecwq5mxpk2n3lef8pckr588va6kkw,11
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,10
stars1rafqlhkvz38d9jhzkxumr78nfg8gyce4w5r2kr,10
stars1d49fac9f3d8s34t8kh7v69uk37hwz4nzv6nn9c,10
stars1xs5qu2phffkgyge0dfj8cparwa9wun26tn8n59,9
stars1l4kzcv0asqxsgtnyf7gkedv7ek7d4wpkxqhjly,8
stars1chlpr5rzmk99ctx082ekeh4zscvjjeca0pm0e5,8
stars1plvc5rje5ux0un6jze7zq3fx5n6430nw540k04,7
stars1dxnnklh9eq2z77qht8lhna4s9k34vqszt9fvz2,7
stars12kct4cfuwh7vevec7c4y9slmee949qrjp5ds2x,7
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,7
stars1ap6adasc8tlumd9a2kwvaprf0x6wf4s6sj5f6a,7
stars1kwksnys3cnjqp6lt88ef2ay46jl5jaufldl9y3,7
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,6
stars1tmv6k8a84q0yuzhav3dc5zu5qw95selzcney0l,6
stars1drm7xxh3l66aa25edw9exupkh4fvlqnzyvr690,6
stars1neqprx4sd0xrs4snn2q9ccchg6ksva3p0vxcfl,6
stars1p4js0h9rxyjh0yvw5meqx97r8yvcnpchglrdnl,6
stars1k3hz2mg7p94re6s5txkzgdrkllj2s8mnnyxh9v,5
stars1fa3glsmn4clqeaymnez7lr70y56fg7du2vculu,5
stars1xt2zcdhdf02jx5csak4t25lygfn4rwg7r2z2rz,5
stars19ajulm47nne9ukcjup8tnuhurh2jxyfevhyaz8,5
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,5
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,5
stars1wv8s3cflrukukpe8wt0t246ewamshqlnrq789s,5
stars1dqsmw3sryd4f8ty8sl455ym6usznmdvlryggtz,5
stars1azy7xegyjprqw3x882znu3e0kx273579dgtw67,5
stars1jzekzshmt7hurf5j0qkprnv0tnrj9mc0ulvpdk,5
stars12ke9n0pz2v422tkz6cjpn9759z53ewsttysfy3,5
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,5
stars1ae0lf58wjdtqckmf0f84rx3ckyjvzn7hfed0mz,4
stars1dl5zhc5wemdmyy8268jqeujxnxn6lqjqrwafg3,4
stars1f4tfssdyvjuutm4s8w770nhek2f6f7yvt4e78p,4
stars1xjdw82tj8zmfvxe2ynw20sgqfr9tu6ak66jpty,4
stars1zvd8c2wk0dup5rxctysa6p0y6ruu0c34np0s8p,4
stars14szcsqlwucecyn97g730qsnsq0rg68zkxnhqzf,4
stars1p0yrw4lawfafed3gpsr3andz8mc0skcdqlm3e2,4
stars1mx4h4zfta4rmx24ddu0js5r5a8ymyk0qda3mrk,4
stars1z28n9utzj7qtj3p8aqafl6uqjxakx2fj9x7jw0,4
stars10uy6rjcfcpagvglhzrhztqpn52aejzstv0mupw,4
stars17qrfgsyepv3mk2f29jkvf0y7q0fnyx7dd78l5z,3
stars1c0ptd0ftqjtxtmuuawd4pgd0us8nkadqkm8tjw,3
stars1agn6f0dsw22zda0kvrpadlspkrudmdlu5krk74,3
stars15v3zc7f6qjsyh8j2v8f5028eg63w7eg5xrt9k9,3
stars1mmautp4x5qgfst0altvt85h7hwfwpsd9clhpe4,3
