address,amount
stars1p4js0h9rxyjh0yvw5meqx97r8yvcnpchglrdnl,1
stars1c7l3lvqp53fdg4ux8yvemsf540s044ne29gwk4,1
stars1a0wncd3r039lj3zcuhvkhwwrdch34kfkzf2j8p,1
stars1a9h4f8yu97shmgxrrm0r52ze8mwl0ljsezcdzj,1
stars1z28n9utzj7qtj3p8aqafl6uqjxakx2fj9x7jw0,1
stars1eq94yckc0nucpl7utrjw6vcjuud0a3e9w3ha3k,1
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,1
stars15udt0d89zumum25xcprnnptg6tx3555cc3rkzq,1
stars1mx4h4zfta4rmx24ddu0js5r5a8ymyk0qda3mrk,1
stars1mx4h4zfta4rmx24ddu0js5r5a8ymyk0qda3mrk,1
stars1mx4h4zfta4rmx24ddu0js5r5a8ymyk0qda3mrk,1
stars1swju37pm33rp8tpwj3zknh6zmd9gahem0g4uyn,1
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,1
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,1
stars1c7l3lvqp53fdg4ux8yvemsf540s044ne29gwk4,1
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,1
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,1
stars12jrc38pc09frc4v7fqdsrmwp6rlfmxxaswnqpsf24m6p7q3u6n6qua5yju,1
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,1
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars1arx7mzasddvte09r6uxw8cf9z3zu3pqy2c6z03,1
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,1
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars14j8v58gv5ardgmrsj33x9hex4pdsmafqhwht3q,1
stars1hyhmssn4j6fxlvq58ctlpxwg5az7shg7zc77rp,1
stars1npc3k4kkhzsvkc45kfwh73exkd2wmgc6m7a448,1
stars1hk792hvg4tl27tqg7fqeaezj8qu06u0aazzk27,1
stars1kumuf97l8yqc042yplqgzlkcrv9s2enrl8vnp6,1
stars1ref3jlptwyhdf40phfxhff4sqs2v9kj6prcjpu,1
stars1uuw7kqjlmhunhyja9d25ludm8c34w663nazv9g,1
stars1uzvm5338qhcn59f5ufxwml3qxl2arxa2gtpd6k,1
stars1a0wncd3r039lj3zcuhvkhwwrdch34kfkzf2j8p,1
stars1sr9l4ease3mnzl43ex3meunw7kesrdrr955n73,1
stars1a0wncd3r039lj3zcuhvkhwwrdch34kfkzf2j8p,1
stars1k27gwgvuv6vlydeaamlsh79tp0kzqaa0grcvfe,1
stars16e6zmwgscxee4vg7d069q8lmxculr0uvkfdjxj,1
stars16e6zmwgscxee4vg7d069q8lmxculr0uvkfdjxj,1
stars1rtq3yj9c2xehldkgtujcc4064s6kvqxah0s22x,1
stars1mqypstgwxah7mnw2dqh25g9f3qq55zg9g9650z,1
stars1xjdw82tj8zmfvxe2ynw20sgqfr9tu6ak66jpty,1
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,1
stars1k27gwgvuv6vlydeaamlsh79tp0kzqaa0grcvfe,1
stars1yqccwpnusftd9rhwexfcglqlk87au5pksalt5g,1
stars1wejl363mss05s7clkgu62ggugg756slhwxhufha852ej5kv7zl2qjah0rg,1
stars14hjsg3qul39r5jevefgk8hnpqsw8k7634zrz48,1
stars1876h8c6qtlvqcnfztw6egl7fljwkhpcperykp4,1
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,10
