address,amount
stars1esht4tx9ep8lq3m3jh48e5fw6wf2gve6ypslnx,1
stars1c04j46fdwc09cpea9exvpcml93zq2m008nvs5p,1
stars1saxd6s0sszru4ut8cwl8q36e8pu8zksrcwyx3w,1
stars189l7q25xdttvlr2uug46vk8uqcmhh6wld2f826,1
stars1wtcp7m7589vdmsse30rsrlt357dwy0qygc79uf,1
stars1kg99k8wd67r0ffxwavgnxup7yk46rvtthshe4u,1
stars1unltyrzalvrher905lc58mlrlm2l7g9rrq3tg6,1
stars13hrf4zuka03ew2064gmmsa9qvxcgm2ns4mvma5,1
stars1c0ptd0ftqjtxtmuuawd4pgd0us8nkadqkm8tjw,1
stars192guner3ahpkfegtptmw2dfxscdqvg3fkanf9n,1
stars159d3sf8pj3a9pmmchgadfquegymu3c3fyvn2py,1
stars12q567kam3tclejefg8jggkxfxues5xlhg3amg2,1
stars1p4js0h9rxyjh0yvw5meqx97r8yvcnpchglrdnl,1
stars1crckdhfjpq4rn2prnf484fk7n239qtnmfu7hg8,1
stars10xece20sfz2d67uxx70w2y3m3cpmtglrc6qn7c,1
stars1cwn5pjafwva29z4f6pkj9as3ncx5kq6nwpqpvj,1
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,1
stars15pv9nvamzqmc9cq2ysppp95qs29llwpl86kltl,1
stars1waac73cpffx7suhpkvnn8w0a8s2cgzn6dffnrt,1
stars1c362wx6uzfuncgm4t0rex675pzxq7nmp944m96,1
stars1ae0lf58wjdtqckmf0f84rx3ckyjvzn7hfed0mz,1
stars1pxxxte323hkrer8ervmgtnlfswkye03aq27ta5,1
stars1jjlltckj572cdscmhl5wg0dwprvn3ax93qa0r5,1
stars1drm7xxh3l66aa25edw9exupkh4fvlqnzyvr690,1
stars1rwydv5jdmt8lje45ylxtr56aaw3e59nspc3jr0,1
stars1v6umul8nun2xaml2y24zrhwc3gx2lv38azxkgy,1
stars1zh4gztddvt8lhcjptl3yntva6yhyv0w0qsjzhh,1
stars1quhdp5phse3cwr49cnk43jhuqjnzrzxxgjmr8z,1
stars10lxgdhq65ct02fsr9k8cd4z2a38g77xye4hun5,1
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,1
stars1pv0ca7a5q7jr5yz0gkvru8la5he6t64vwsxjm6,1
stars12kct4cfuwh7vevec7c4y9slmee949qrjp5ds2x,1
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,1
stars19g4h644j3z3dd98c0lg0xmjex8axerrgum8rel,1
