username,user_id,wallet_address
deep_1979,"1205773646241603615",stars1kjvkkyharafy6rxwu9sy9sas2kr5zl3mg5y562
vel185,"1012021564293787669",stars16kx7z3s7axcsw8vyjdep09ffzujteulcnf85gr
llewynbonisagus,"981459748803207189",stars1wa6mnrv267jxyku9e8jgzpjdxaggd5vhd5e22h
arsdragnio,"291126203346321408",stars1w8gz4h3deymfz5k55mrn56zq9sy069dns44wcn
dvinar77phmn,"904257040417951765",stars1sypqufzxkqqmul7g8f8xz0hjfkgsj9qu7mzddq
pers5575,"840524669467230208",stars1fe9d7k5e8axa7uxtfa4smpz4ng58wjqjszrs95
svigor,"1191765164551323738",stars1cs0ysv4l5rk6h3tayrza4x9lphk8dpjv87xce8
wakenstake,"914389639408808047",stars1sq0vscugf2crapn6z492fl7mrfr449nxtr6rl6
gagriva,"520631400962195457",stars1mkk7xd9tll96rt2j8e8tamggu5agzwq7jrewux
sava20132013,"954539680437776394",stars1ccv4e9qt3pmg784s6qmmd9kec3uwayr86cmn5j
aloislien,"442294229213904900",stars1q0tfewa60enuu8utyjs9w7um58njhd7fpjvryq
oohmydad,"396375541592096792",stars1ev0ank27c4fr8afrvu75f3hgpdjpl8dc3mlt9f
dollarboy_dc,"1133390778660573214",stars1ppw4g9zpk2e92et7p6j5ack2qzmh8mc4z6r8nc
nik34rus,"715126876397633567",stars10mxudmq0ymwd86k3vtxj0zlv4u5rd2d7670h2j
der_6,"1042464602031665202",stars137tlv9g4dgm9jq9ucwcd5mpp7w4agtzuh278yr
darka278,"955716560306200577",stars1kc3yh7r6kvuvv5c2ytreppqdyh4q0hnnzed09g
qx56111,"1196555462972297339",stars18p7s5uydtz6jjdp5m8jh8sjkdxy5z0wmnfr8c3
boberspb,"411257007425847296",stars12spcwcnc7hupnngkx49dxhf5ljn2vt3hhmk5ty
happy_tanya,"1209576513834455082",stars15kfr4d79sszqpxeak83ef0ffth758d3u7fdvpm
afera25,"944842155158036561",stars1c0k6p340st8egc7jcfndfm4jmly4na6c98wyvl
breaking_2008,"1297818258531156063",stars1rs6zavnhr2cyv8dnfyq9u5j5zkhrz3epr06e9k
viktoreanec,"1197449264696139799",stars1htlcpzppxhnalgvyljvyd9f67zemwmctyak4nn
kotygoroshko31,"1196574941341036577",stars1wjt0p3m62rrpugxug4szqgj4v5d3l8ll4xhac7
sergiogagarin,"343792820106297355",stars1s7p8qqe7ucs23nmnld3p746hsk25aujtfymk08
mr.shmaroff,"387278206937464835",stars173sxh0zms7d8nwwr96ahaaw657u3dj84vqsz7s
mosquito.stars,"1181090599395405834",stars1w9ee57gnduzm4l9h6xwn9tee9pyh8wlrplj769
finn4eg,"540897770941317121",stars126xfrtkj2q5azmud6r8m9h46sxw4vy5x534prq
56a32,"1230230642021765213",stars1wtqyxenj84f6sdtazrq3uvngajgc05utclmjwx
sloth8888888,"1222617155246362695",stars1dray6fk8xdf4y29dzf7xyvdj6sl9qk7wdtuynz
mahifish1,"1234994187145838636",stars1hcxtgtj6wghvjulhkj6wwhulc6nyr4jpymxjjq
al2224.,"1218495008064274485",stars1yv6khhphkesw4tdn4ppa54alecq25cl6qggpdx
criptanled,"1272188096942706750",stars1ugyrcngz6ghnudmu4ecm0gdhfaq2hup2acztlw
maks289.,"531776302152155147",stars1kw6mw70wafdxgp2n8s4lscx04du8ka6df2ehrc
orion8683,"942811558696870008",stars19qypu6hpwpyqmd24xufq8zkua3fmrhaplvgsgg
romanov1004,"802201452218417202",stars1gu6dyquykt6hwx90hxctnq7v28vf3eapkc7apf
volodymyrm.,"929795926841753670",stars1za2uuu8w5h79rq78tvd9hj4gqyg9lsqmgwgdmt
v____2004,"1205988422674554962",stars13x0ru757n3kjyf8r5nsn6z5zh44r69sepav2f2
mattias6,"692351690803773494",stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2
beorn6530,"1006160467481337956",stars1d7sw0t3nyajddyjtvwargqkypqx0yumdarq302
