token id,name,description,image,Character,Special
1,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
2,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
3,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
4,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
5,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
6,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
7,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
8,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
9,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
10,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
11,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
12,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
13,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
14,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
15,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
16,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
17,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
18,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
19,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
20,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
21,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
22,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
23,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
24,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
25,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
26,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
27,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
28,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
29,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
30,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
31,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
32,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
33,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
34,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
35,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
36,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
37,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
38,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
39,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
40,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
41,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
42,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
43,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
44,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
45,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
46,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
47,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
48,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
49,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
50,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
51,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
52,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
53,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
54,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
55,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
56,Santa #1,Collect all 55 cards in this Hooded holiday set! Each card showcases an enchanting Christmas character! Merry Christmas from The Fortunate Few and happy holidays!,ipfs://bafybeietp35ecvr3jjgcixmhx2zvzmi77jwa5jfypskknyatmhhjviwc3m/1.png,S A N T A ,1st Edition 
